Date,Weather_Condition,Dew_Point_C,Humidity(%),Pressure(hPa),Temperature_C,Visibility(km),Wind_Direction(Compass),Rain_Presence
01-Jan-2015,Smoke,11.0,43.0,1016.0,21.0,1.0,NNW,0
02-Jan-2015,Light Rain,15.0,100.0,1017.0,15.0,1.0,NE,1
04-Jan-2015,Smoke,10.0,51.0,1019.0,18.0,1.0,NW,0
05-Jan-2015,Haze,9.0,36.0,1014.0,21.0,2.0,WNW,0
06-Jan-2015,Smoke,9.0,50.0,1014.0,17.0,1.0,NW,0
07-Jan-2015,Patches of Fog,8.0,67.0,1016.0,12.0,0.5,West,0
10-Jan-2015,Smoke,8.0,42.0,1017.0,17.0,1.0,West,0
11-Jan-2015,Smoke,8.0,52.0,1017.0,15.0,1.0,WNW,0
13-Jan-2015,Smoke,9.0,45.0,1016.0,18.0,1.0,SE,0
14-Jan-2015,Mist,10.0,66.0,1016.0,14.0,1.0,ENE,0
15-Jan-2015,Smoke,9.0,45.0,1019.0,18.0,0.5,WNW,0
16-Jan-2015,Smoke,9.0,38.0,1018.0,20.0,1.0,West,0
17-Jan-2015,Haze,11.0,43.0,1018.0,20.0,2.0,NW,0
18-Jan-2015,Haze,10.0,36.0,1017.0,21.0,2.0,West,0
19-Jan-2015,Smoke,7.0,30.0,1017.0,20.0,2.0,West,0
20-Jan-2015,Smoke,11.0,54.0,1018.0,18.0,1.0,East,0
21-Jan-2015,Smoke,10.0,52.0,1020.0,17.0,1.0,East,0
24-Jan-2015,Smoke,12.0,65.0,1020.0,16.0,2.0,West,0
25-Jan-2015,Smoke,9.0,47.0,1019.0,18.0,2.0,NW,0
28-Jan-2015,Haze,4.0,30.0,1016.0,18.0,2.0,NW,0
29-Jan-2015,Haze,3.0,24.0,1019.0,18.0,2.0,West,0
30-Jan-2015,Haze,2.0,21.0,1020.0,19.0,4.0,WNW,0
31-Jan-2015,Haze,2.0,18.0,1016.0,21.0,4.0,WNW,0
01-Feb-2015,Haze,6.0,22.0,1016.0,24.0,2.0,SSE,0
02-Feb-2015,Smoke,11.0,37.0,1016.0,23.0,1.0,East,0
03-Feb-2015,Haze,13.0,46.0,1019.0,22.0,1.0,SW,0
04-Feb-2015,Smoke,12.0,55.0,1022.0,20.0,0.5,NW,0
05-Feb-2015,Haze,2.0,16.0,1018.0,22.0,4.0,NNW,0
06-Feb-2015,Haze,6.0,21.0,1018.0,24.0,2.0,NW,0
07-Feb-2015,Haze,10.0,27.0,1015.0,25.0,2.0,East,0
08-Feb-2015,Smoke,10.0,31.0,1016.0,24.0,2.0,NW,0
09-Feb-2015,Haze,9.0,25.0,1018.0,25.0,4.0,NW,0
10-Feb-2015,Haze,6.0,22.0,1019.0,23.0,4.0,West,0
11-Feb-2015,Haze,10.0,32.0,1016.0,23.0,2.0,NNW,0
